Identifier	Character	Dialogue	Filename	Line Number
act1_scene3_f74640bd	thinking	Something must have happened yesterday, you think, else they wouldn’t all be gathered around me this morning like they are now.	game/scripts/act1.rpy	115
act1_scene3_9035bade	narration	You decide to bet on it:	game/scripts/act1.rpy	117
act1_scene3_2d186212		So who’s going to tell me about what happened yesterday?	game/scripts/act1.rpy	119
act1_scene3_f2bd98a1	bapat	It’s the same as usual, Abhay, this Priyanka she walks around half-naked, it’s not decent.	game/scripts/act1.rpy	121
act1_scene3_56802af3	donatello	And because of this, people cannot work properly, what is she looking for?	game/scripts/act1.rpy	123
act1_scene3_8e22bb5c		So nothing happened?	game/scripts/act1.rpy	125
act1_scene3_3c1d906c	donatello	Of course, we tried to tell her with humour, but she doesn’t get it	game/scripts/act1.rpy	127
act1_scene3_d48756a9	donatello	 and she has the nerve to pretend to be angry at us now!	game/scripts/act1.rpy	129
act1_scene3_096120b1	bapat	And pretending to cry with that! Like we’re the bad guys now!	game/scripts/act1.rpy	131
act1_scene3_dbdb2a27		Hold on a second	game/scripts/act1.rpy	133
act1_scene3_d9e8ae39		I’ve heard enough, guys, let me decide about this.	game/scripts/act1.rpy	135
act1_scene4_b19941bf	narration	Bapat and Donatello have left, leaving you alone in the canteen.	game/scripts/act1.rpy	148
act1_scene4_d33025ce	narration	You hesitate between gathering everyone, and making a public inquiry, or meeting with all the others individually in your office.	game/scripts/act1.rpy	150
act1_scene4_c662b5ab	narration	While you ponder, you receive an email from Bapat on your phone asking all employees to come and meet him and Donatello in the meeting room to discuss ‘A Matter of Decency’. Brilliant, all you needed was a rebellion.	game/scripts/act1.rpy	152
act1_scene5_b19941bf	narration	Bapat and Donatello have left, leaving you alone in the canteen.	game/scripts/act1.rpy	162
act1_scene5_7f116f8d	thinking	That was a close one.	game/scripts/act1.rpy	164
act1_scene5_38e6679b	narration	Since you want everyone on board, and can’t afford to lose either Priyanka, Bapat, or Donatello before the new CEO comes in, you’ve chosen the path of least resistance: doing nothing.	game/scripts/act1.rpy	166
act1_scene5_04adcaaf	narration	While you congratulate yourself for your wisdom, you receive an email from Bapat on your phone asking all employees to come meet him, and Donatello in the meeting room to discuss ‘A Matter of Decency’. Brilliant, all you needed was a revolution.	game/scripts/act1.rpy	168
act1_scene6_28ccf897	narration	It looks like you won’t get away with Bapat, and Donatello so easily.	game/scripts/act1.rpy	176
act1_scene6_981e6fe2	narration	Before you could take a decision about the situation yourself—if you had any intention of taking one—they’ve gathered everyone for a meeting to address what they describe as “decency issues”.	game/scripts/act1.rpy	178
act1_scene6_a23c26bb	thinking	Why the haste?	game/scripts/act1.rpy	180
act1_scene6_8610ed88	thinking	Are they afraid of the decision I might take?	game/scripts/act1.rpy	182
act1_scene6_30daac2c	thinking	Do they feel guilty in any way?	game/scripts/act1.rpy	184
act1_scene6_1941fb70	thinking	And if so, of what exactly?	game/scripts/act1.rpy	186
act1_scene6_6a5a9a7e	thinking	Is it possible that they’re pushing hard because they genuinely feel offended?	game/scripts/act1.rpy	188
act1_scene6_1c92e99a	narration	Whatever the case, you now find yourself in the meeting room with everyone but Priyanka. You double-check your emails to verify that she’s been invited as well, and find that she wasn’t.	game/scripts/act1.rpy	193
act1_scene6_a3debdfa	narration	Bapat, and Donatello, are talking loud, and fast. Everybody else listens, scolds, or nod in agreement with them as statements go. This sure seems like a there’s a situation, and that the situation needs to be addressed. Still, you can’t ignore the feeling that something unusual happened yesterday, and that the reason of all this ruckus escapes you.	game/scripts/act1.rpy	195
act1_scene6_5cf36e02		I am sorry to interrupt,	game/scripts/act1.rpy	200
act1_scene6_c8720e49		but this isn’t how it works.	game/scripts/act1.rpy	202
act1_scene6_91d06479	narration	Everybody looks at you now, you carry on:	game/scripts/act1.rpy	208
act1_scene6_aff9e54f		You can’t call for a public meeting, especially when you exclude another employee from this meeting,	game/scripts/act1.rpy	210
act1_scene6_5cee878f		I am the one in charge of Human Resources here, and with M. Gopinath away, and the new CEO on the way, of the whole company at the moment.	game/scripts/act1.rpy	212
act1_scene6_b3795e81		If I wanted to call for a public meeting I would have done it.	game/scripts/act1.rpy	214
act1_scene6_2190bd90	narration	There’s a lot of shoegazing as everybody falls silent.	game/scripts/act1.rpy	216
act1_scene6_fe0f72a6		I’d rather we stop this, and get back to work, we all have more important matters on our plates	game/scripts/act1.rpy	218
act1_scene6_10d5f4ac		Don’t forget that we need to handle the deliveries for next week.	game/scripts/act1.rpy	220
act1_scene6_89cf66f4		As employees leave the meeting room one by one, you halt one of the culprits to speak with him privately.	game/scripts/act1.rpy	224
act1_scene6_9ef31a39	thinking	Who should I talk to ?	game/scripts/act1.rpy	226
act1_scene7_c4a22240		I want you to tell me what happened yesterday.	game/scripts/act1.rpy	236
act1_scene7_63a2082d	bapat	Ah, it’s nothing, Abhay, don’t get all wrangled up,	game/scripts/act1.rpy	238
act1_scene7_cd81639d		So, something happened indeed.	game/scripts/act1.rpy	240
act1_scene7_36ab1206		I need to know it before I decide what to do with all this fuss.	game/scripts/act1.rpy	242
act1_scene7_1f0b78cf		Bapat, I can’t follow whatever it is you’re doing without being aware of the background.	game/scripts/act1.rpy	244
act1_scene7_337ee2e6	bapat	Ah okay, this Priyanka you know, she came in a mini-skirt like she does sometimes,	game/scripts/act1.rpy	246
act1_scene7_b269c703	bapat	All provocation, no shame.	game/scripts/act1.rpy	248
act1_scene7_61db64ee	bapat	And there are many men in the office	game/scripts/act1.rpy	250
act1_scene7_a7acc6fd	bapat	Even Giti was shocked.	game/scripts/act1.rpy	252
act1_scene7_0d8427df		And?	game/scripts/act1.rpy	254
act1_scene7_e794e9ef	bapat	And The Donald, Donatello I mean, well, he’s a man, Abhay.	game/scripts/act1.rpy	256
act1_scene7_87a3b37b	bapat	He made some noises, and maybe a couple of jokes, and there she went, crying all over like a baby girl, and-	game/scripts/act1.rpy	258
act1_scene7_bffbb01f		So you thought that he could be in trouble, hence the ruckus you raise this morning.	game/scripts/act1.rpy	260
act1_scene7_862ac58d	bapat	You don’t get it, Abhay, not at all.	game/scripts/act1.rpy	262
act1_scene7_a140f35c	bapat	We just want to work peacefully, this is interfering with productivity.	game/scripts/act1.rpy	264
act1_scene7_cdd02927		Thank you, Bapat, I know all I need to know now.	game/scripts/act1.rpy	266
act1_scene8_c4a22240		I want you to tell me what happened yesterday.	game/scripts/act1.rpy	274
act1_scene8_a6775b19	donatello	Nothing, why do you bother?	game/scripts/act1.rpy	276
act1_scene8_db28b693		I bother because I’m the HR Manager of this company, Donatello, not you,	game/scripts/act1.rpy	278
act1_scene8_ad279397		and you called for a public meeting the very same day I find Priyanka in my office, and didn’t even bother to invite her to this meeting.	game/scripts/act1.rpy	280
act1_scene8_134d833e	donatello	‘This woman is really a problem, you know, Abhay.	game/scripts/act1.rpy	283
act1_scene8_70906e29		Well at least she doesn’t raise a ruckus like you and Bapat did…	game/scripts/act1.rpy	285
act1_scene8_2a744273		Now kindly tell me what happened.	game/scripts/act1.rpy	287
act1_scene8_f27817a8	donatello	Oh well, she came to work like she’s going to party all night	game/scripts/act1.rpy	289
act1_scene8_4ef00fe3	donatello	and Bapat, well, he’s just a man, Abhay.	game/scripts/act1.rpy	291
act1_scene8_b109ab89	donatello	He made noises, and motions, and maybe I made a couple of jokes, and felt her a bit, and she started to cry, and become angry as if WE were the problem, not her, and-	game/scripts/act1.rpy	293
act1_scene8_074561d2		So you thought that you both could be in trouble, hence the ruckus you raise this morning.	game/scripts/act1.rpy	295
act1_scene8_89d6199c	donatello	I only think about the well-being of the company, Abhay,	game/scripts/act1.rpy	297
act1_scene8_f07520f6	donatello	customers come in here sometimes, what impression do we give to them by having Priyanka dressed up like this?	game/scripts/act1.rpy	299
act1_scene8_f0a623c5	donatello	This isn’t a massage parlor, and what if the others, like Manali, start to copy her?	game/scripts/act1.rpy	301
act1_scene8_e90597f8	donatello	Men have drives, Abhay, she’s asking for it,	game/scripts/act1.rpy	303
act1_scene8_0569962f	donatello	I can’t blame her really because we’re good-looking and all, but she must keep her instincts in control.	game/scripts/act1.rpy	305
act1_scene8_1df2a81a		Thank you, Donatello, I know all I need to know now.	game/scripts/act1.rpy	307
act1_scene9_9cec15df	narration	Before he leaves, his accomplice steps in as you are about to alight.	game/scripts/act1.rpy	316
act1_scene9_b2e71c7d	narration	They both look at you with a strange mixture of mistrust, and eagerness.	game/scripts/act1.rpy	318
act1_scene9_22759a01	bapat	Are you going to do something about it, Abhay?	game/scripts/act1.rpy	320
act1_scene10_e29e6ca6	narration	You’ve heard their explanations, and have gathered enough information to take a decision, and solve this problem now.	game/scripts/act1.rpy	335
act1_scene10_eb90856e	narration	You could draft a dress code for all the employees of the office, so that Priyanka wouldn’t feel targeted, and that good work conditions can be maintained for everyone.	game/scripts/act1.rpy	337
act1_scene10_94ee8c66	narration	You could also take even less risks by calling for a public poll in the meeting room, so that everybody will have the opportunity to give one’s advice, and if anything goes wrong, you won’t be held responsible for it.	game/scripts/act1.rpy	339
act1_scene10_783b94f4	narration	Or maybe you think that sometimes, a HR Manager has to take difficult decisions, and since Priyanka is the root of this trouble, you will issue her a warning to have her start dressing more appropriately, after all, she’s the only troublesome one as nobody ever complains about the other women.	game/scripts/act1.rpy	341
act1_scene11_f04601f1	narration	You draft a dress code forbidding short dresses, heels, and skirts, and requesting decency from the employees	game/scripts/act1.rpy	355
act1_scene11_487cf72c	narration	Later this day, you send it to all, and forward your email to M. GOPINATH, the Administrative Director, and to the new CEO. Better safe than sorry.	game/scripts/act1.rpy	357
act1_scene12_a406cb39	narration	You’ve decided to call for a public poll, and gather everyone once again in the meeting room.	game/scripts/act1.rpy	364
act1_scene12_ed9e4c30	narration	Priyanka joined you, eager to find a solution, but when you describe the situation to the people, Bapat, and Donatello are very vocal, and slowly get everyone on board with their agenda.	game/scripts/act1.rpy	366
act1_scene12_9b04b973	bapat	Why does she have to dress like this? This isn’t a party!	game/scripts/act1.rpy	370
act1_scene12_8b74e435	priyanka	And how do I dress exactly, Bapat, do tell me? Is this because I’m not wrapped head to toe in a sari?	game/scripts/act1.rpy	374
act1_scene12_ed3398d9	donatello	It’s either sari, or panties with you.	game/scripts/act1.rpy	378
act1_scene12_dc464097	narration	The other women blush, and laugh with him.	game/scripts/act1.rpy	380
act1_scene12_e3e4a6a6	priyanka	How can you-	game/scripts/act1.rpy	384
act1_scene12_8c49c737	bapat	Look at Giti Madam, Priyanka, or sweet Manali, they dress with de-{w=0.25}cen-{w=0.25}cy.	game/scripts/act1.rpy	388
act1_scene12_25d4eb57	priyanka	What’s your prob-	game/scripts/act1.rpy	392
act1_scene12_c4d7a04d	bapat	When you dress like this, like western people trying to find a partner, of course we’re just men, 	game/scripts/act1.rpy	396
act1_scene12_6a4dbb9c	bapat	it’s difficult to concentrate, and ignore you, and the same goes for the customers, you’re ask-	game/scripts/act1.rpy	398
act1_scene12_6def2e58		Bapat!	game/scripts/act1.rpy	400
act1_scene12_a3bc90c6		Stop this now, you need to keep your speech under control !	game/scripts/act1.rpy	402
act1_scene12_7bccb195		The same goes for you, {w=0.25}{nw}	game/scripts/act1.rpy	404
act1_scene12_c522ad7c	extend	Donatello.	game/scripts/act1.rpy	408
act1_scene12_cd9d49c7	donatello	Then she needs to help us being in control, this shameless woman!	game/scripts/act1.rpy	410
act1_scene12_e111aa50	narration	With this, Priyanka leaves the meeting room in tears while the others whistle, and laugh. {p} Since the public meeting has turned into a nightmare, and added to Priyanka’s shaming, you regret this idea, but it’s a little too late.	game/scripts/act1.rpy	412
act1_scene13_1d70f0e2	narration	Since Priyanka is the only one causing trouble, you see no need to bother everyone with a dress code, or a public poll.	game/scripts/act1.rpy	420
act1_scene13_b5345877	narration	After all, Bapat, and Donatello have both explained the situation to you, and though you dislike doing it, you decide to issue Priyanka a warning.{p} It’s not your problem whether she accepts it peacefully or not, she has to be professional. Since the new CEO is said to be tough, this could be your chance to prove yourself worthwhile, and who knows, to be promoted.	game/scripts/act1.rpy	422
act1_scene14_5d25cac4	narration	Following your decision, and the events of the day, Priyanka gives you her resignation letter the next morning.{p=1} Bapat and Donatello gloat in the open space, and start making jokes about Manali, the Secretary, as well.{p=1} Given the terms of her contract, Priyanka has to stay for a month, now wearing an oversized sweater, and trousers, and will be there when the new CEO comes.{p=1} Let’s hope you made the right choice.	game/scripts/act1.rpy	430
act1_scene15_2b2c8d36	narration	You unpack your lunch box in the canteen. It’s a most welcomed time of the day as everybody blows off some steam, and engage in small talk.	game/scripts/act1.rpy	444
act1_scene15_414fd707	donatello	...can you believe this ?	game/scripts/act1.rpy	448
act1_scene15_e2752539	giti	Well, you know, my community’s just off the main road, so I’m rather happy with this decision.	game/scripts/act1.rpy	452
act1_scene15_c3128282	bapat	‘But it’s a festival, Giti, how are we supposed to celebrate without fireworks, or sound system?	game/scripts/act1.rpy	456
act1_scene15_44bc6a8f	manali	And it’s dry day as well.	game/scripts/act1.rpy	460
act1_scene15_ba51af59	bapat	That is normal, it’s different!	game/scripts/act1.rpy	464
act1_scene15_df2b846e	priyanka	How come the High Court decides about religion anyway?	game/scripts/act1.rpy	468
act1_scene15_fa2c5044	donatello	Come on, religion? {w=0.25}How are fireworks, and techno music connected with religion in any way?	game/scripts/act1.rpy	472
act1_scene15_6c127b44	bapat	It’s like that, it’s what we do.	game/scripts/act1.rpy	476
act1_scene15_c598f100	bapat	What we’ve always done!	game/scripts/act1.rpy	478
act1_scene15_2d56c6c2	thinking	Gossips, and issues all the time.	game/scripts/act1.rpy	480
act1_scene15_5ffe6a01	narration	The conversation then trails off on the subject of the new CEO.{p=1} M. BAJU, the former, wasn’t proactive, to put it mildly, but he maintained a peaceful if a bit droning work environment.{p=1} . We are creatures of habit, and don’t like to be shaken off them, and BAJU was our habit of a CEO, aloof, quiet, almost jaded.{p=1} You all got used to this. That was relaxing in a way.{p=1} Now that he’s gone, people are excited, and the bad stuff surfaces in this ungoverned space.	game/scripts/act1.rpy	482
act1_scene15_4ef53e29	narration	This is usually where you fall back on M. GOPINATH, the Administrative Director, but he’s taken his annual leave, and has left you alone to deal with everything.	game/scripts/act1.rpy	488
act1_scene15_2276cf00	narration	Without active CEO, and M. GOPINATH being away, you are the highest ranking employee in the company right now, a company in turmoil with Priyanka’s issue this morning.	game/scripts/act1.rpy	490
act1_scene15_eccd27d8	thinking	I need to solve it, and to gather everyone's opinion.	game/scripts/act1.rpy	492
act1_scene16_66e4ca29	narration	If all you do to find the truth about people harassing women is talk with the harassers, you won’t go very far, you think. You need to gather the opinion of other employees, and maybe to ask the lawyer, M. RAJKUMAR, to give you his opinion.	game/scripts/act1.rpy	501
act1_scene17_7e7c5037	narration	You write to M. Rajkumar, the company’s Lawyer, and explain him the situation so that he can give you his advice. He answers a few hours later:	game/scripts/act1.rpy	524
act1_scene17_2e000175	narration	<INSERT MAIL HERE>	game/scripts/act1.rpy	527
act1_scene18_89a8412c	narration	Giti smiles intently while you explain her the situation, trying to offer both points of views as you do so. She cuts you off as you’re about to ask for her opinion.	game/scripts/act1.rpy	538
act1_scene18_fac85da7	giti	I know very well everything you’re talking about, Abhay Sir.	game/scripts/act1.rpy	540
act1_scene18_c8523f01	giti	It is true that Bapat, and Donald Sir, have been making very bad jokes on Priyanka, and calling her names, 	game/scripts/act1.rpy	542
act1_scene18_2ffb92d4	giti	But the way she dresses pushes them to-	game/scripts/act1.rpy	544
act1_scene18_43aac7bc		You mean that she’s asking for it?	game/scripts/act1.rpy	546
act1_scene18_1def7822		Why would she? Are they so gorgeous?	game/scripts/act1.rpy	548
act1_scene18_e08eae67	giti	Women should have a sense of decency, we’re not in New York Miami USA here.	game/scripts/act1.rpy	550
act1_scene18_a5a6dbd2	giti	I would be very ashamed if I went around dressed like she does.	game/scripts/act1.rpy	552
act1_scene18_aeee62b1	narration	You try to imagine Giti with Priyanka’s clothes on, but somewhat, you can’t.	game/scripts/act1.rpy	554
act1_scene18_9a000c00		*sigh* {w=0.25}Carry on.	game/scripts/act1.rpy	556
act1_scene18_03499cb1	giti	I have said what I needed to, Abhay Sir.	game/scripts/act1.rpy	558
act1_scene18_23c25214		What should I do then? Should I punish Priyanka, and leave the guys alone?	game/scripts/act1.rpy	560
act1_scene18_657d998f	giti	Maybe you should give them all a warning, then decide on a dress code, or give Priyanka more warnings if she doesn’t change her ways.	game/scripts/act1.rpy	562
act1_scene18_caef137a		By company policy, I have to fire her after three warnings have been issued, Giti, did you know that?	game/scripts/act1.rpy	564
act1_scene18_22b011ca	giti	I did not know, Abhay Sir.	game/scripts/act1.rpy	566
act1_scene18_9cc9fe31		But you still advise me to do it?	game/scripts/act1.rpy	568
act1_scene18_ff1aa49f	giti	No Sir, I have no solution.	game/scripts/act1.rpy	570
act1_scene18_e18fb091	narration	This being said, Giti leaves your office.	game/scripts/act1.rpy	574
act1_scene19_51a861bf	narration	When Manali sits down in your office, you feel like a police officer conducting an interrogation. {p=1} She gazes at her shoes, and blushes a lot, twisting her fingers as she does.	game/scripts/act1.rpy	583
act1_scene19_e4587852		You know why I have called you, right?	game/scripts/act1.rpy	588
act1_scene19_baa0b2b2	manali	Maybe because it’s about Priyanka and the management, Sir?	game/scripts/act1.rpy	590
act1_scene19_7bf6ec8d		Yes, it’s about that. Her, and Bapat, and Donatello, and whatever happened between them. {w=1}*sigh*	game/scripts/act1.rpy	592
act1_scene19_9067dd40		Do you think she dresses too provocatively for work, Manali? That I should do something?	game/scripts/act1.rpy	594
act1_scene19_9f3b8a30	manali	I can’t say, Abhay Sir, I am not in a position to say.	game/scripts/act1.rpy	596
act1_scene19_dbb4eed4		Because you’re a woman? {w=0.25}Or a Secretary? {w=0.25}Nonsense. Please tell me.	game/scripts/act1.rpy	598
act1_scene19_00639e2d	narration	Manali clears her throat, looks at the ceiling, clears her throat again, and speaks	game/scripts/act1.rpy	600
act1_scene19_202cb77a	manali	Well. Well, I don’t think so too much, Abhay Sir. It’s just…	game/scripts/act1.rpy	602
act1_scene19_04d12ec0	narration	And with that, she stops speaking, and looks at the ceiling again.	game/scripts/act1.rpy	604
act1_scene19_60af0453		Just what?	game/scripts/act1.rpy	606
act1_scene19_3b4780a2	manali	Just that you should talk to her, so that she can change maybe? {w=0.25}Please?	game/scripts/act1.rpy	608
act1_scene19_0bf5b457	thinking	I feel she's hiding something, but pushing her is maybe a bad idea. What should I do ?	game/scripts/act1.rpy	610
act1_scene20_320db272	narration	The idea that Manali has not told you everything lingers in your mind, but you cast it off, you’re not supposed to make people uncomfortable, or to get the details of their private life, you keep the workplace productive, that’s your job.{p=1} You’ve talked to people enough anyway, it’s about time you take a decision. Who knows, maybe you’ll get another chance to talk to her.	game/scripts/act1.rpy	620
act1_scene21_4e9cc639		I need to know, Manali, I am the HR Manager here, I can’t take decisions blindly. {p=0.5}You understand that?	game/scripts/act1.rpy	628
act1_scene21_a0fd72b3	narration	She nods.	game/scripts/act1.rpy	630
act1_scene21_c1ca62bd		If whatever it is that you’re hiding is connected to this situation, and can change the way it is for either Priyanka, Bapat, or Donatello,	game/scripts/act1.rpy	632
act1_scene21_24d39d68		you need to tell me so that I don’t treat them unfairly.	game/scripts/act1.rpy	634
act1_scene21_6213c888	narration	She nods again.	game/scripts/act1.rpy	636
act1_scene21_81a61a0a		You know something else, don’t you?	game/scripts/act1.rpy	638
act1_scene21_a0fd72b3_1	narration	She nods.	game/scripts/act1.rpy	640
act1_scene21_5fd426d1		Then tell!	game/scripts/act1.rpy	642
act1_scene21_958e3d57	manali	It’s Priyanka, Abhay Sir, she was dating Bapat’s son last year.	game/scripts/act1.rpy	644
act1_scene21_27cfc856	manali	They went on holidays together with Bapat even, and he never complained about her before, but since she’s left his son, he’s mad at her now.	game/scripts/act1.rpy	646
act1_scene21_51014dcc	narration	She blushes into a deeper shade of red.	game/scripts/act1.rpy	648
act1_scene21_578f2530	thinking	What should I do now ?	game/scripts/act1.rpy	650
act1_scene22_549e22d4	narration	Given the new piece of information you’ve collected from Manali, you decide to talk to Bapat privately.	game/scripts/act1.rpy	661
act1_scene22_8fab2ff0		I need to talk to you, Bapat.	game/scripts/act1.rpy	665
act1_scene22_e200ac90	bapat	Sure, what’s the matter?	game/scripts/act1.rpy	667
act1_scene22_0c4ef3a5	narration	Bapat moves nervously on the chair.	game/scripts/act1.rpy	669
act1_scene22_00e0837b		Is there something I should know about Priyanka that you didn’t tell me yet?	game/scripts/act1.rpy	671
act1_scene22_c265feb7	bapat	What is this nonsense?	game/scripts/act1.rpy	673
act1_scene22_935a8c3d		You tell me.	game/scripts/act1.rpy	675
act1_scene22_aae6e2b4	narration	Bapat stutters as he reddens with anger.	game/scripts/act1.rpy	677
act1_scene22_90477577	bapat	What did she tell you?!	game/scripts/act1.rpy	679
act1_scene22_6db5f687		She told me nothing, Bapat, I’m fumbling in the dark here.	game/scripts/act1.rpy	681
act1_scene22_c0479367	narration	Bapat sighs with obvious relief	game/scripts/act1.rpy	683
act1_scene22_39dec2c1	bapat	There’s nothing, Abhay, nothing.	game/scripts/act1.rpy	685
act1_scene22_9c88dbb0	bapat	You should know better, and ignore the gossip.	game/scripts/act1.rpy	687
act1_scene22_a243e596	bapat	You’re the HR Manager, and I will make sure that the new CEO recognizes your merits, and value.	game/scripts/act1.rpy	689
act1_scene22_6611f919	narration	With that, Bapat shakes your hand, {nw}	game/scripts/act1.rpy	691
act1_scene22_09edbf24	extend	and leaves your office. 	game/scripts/act1.rpy	695
act1_scene22_849ec428	thinking	Given his reaction, Manali was obviously right, something’s amiss, and Priyanka having had an affair with his son would explain it all.	game/scripts/act1.rpy	697
act1_scene22_e7b8cec4	thinking	Should I ignore the whole situation to keep both Priyanka, and Bapat on my side ?	game/scripts/act1.rpy	699
act1_scene22_f5124c44	thinking	Or should I take a decision with this new piece of information?	game/scripts/act1.rpy	701
act1_scene23_75fab0b8	narration	Since Bapat knows that you know, even though nothing has been said openly, it’s now easy to ignore the whole situation. {p=1} Maybe he, and Donatello will calm down now, and stop shaming Priyanka. Regardless, the situation has become too complicated for you, a mere HR Manager, to dabble in.	game/scripts/act1.rpy	710
act1_scene24_912727e2	thinking	I have a grasp of the whole situation now. What should I do ?	game/scripts/act1.rpy	718
act1_scene25_3554ddd4	bapat	What is it again, Abhay?	game/scripts/act1.rpy	737
act1_scene25_f4e114f0		I know everything, Bapat, about your son.	game/scripts/act1.rpy	739
act1_scene25_5455194d	bapat	Ah now she decided to tell you, she really has no shame, this woman!	game/scripts/act1.rpy	741
act1_scene25_420933c3		So it is true.	game/scripts/act1.rpy	743
act1_scene25_d0a6ffa1	bapat	Yes, it is true, this is how I found out how shameless she is!	game/scripts/act1.rpy	745
act1_scene25_8c358de9	bapat	She dresses like this because she’s a tease! No other reason.	game/scripts/act1.rpy	747
act1_scene25_d05936e4		She didn’t tell me, Bapat. I don’t think she would have.	game/scripts/act1.rpy	749
act1_scene25_ce060e25	bapat	Yet something must be done about this woman, Abhay Sir.	game/scripts/act1.rpy	751
act1_scene25_ff1ed958	bapat	We can’t have women like this going around the office, breaking hearts and all.	game/scripts/act1.rpy	753
act1_scene25_98b5b922		You never did anything against her before she left your son. This needs to stop!	game/scripts/act1.rpy	755
act1_scene25_662c83d7	bapat	What’s the difference? People are with me!	game/scripts/act1.rpy	757
act1_scene25_c7049c4a	bapat	They think the same, we can’t have <b>sluts</b> around!	game/scripts/act1.rpy	759
act1_scene25_69505489		Okay, this breaks the camel’s back.	game/scripts/act1.rpy	761
act1_scene25_3e3ce8df		I will give you a warning, Bapat.	game/scripts/act1.rpy	763
act1_scene25_482d9cbd	bapat	Do it, so that I can tell everyone how not only she dresses shamelessly, but also dates men all around the place !	game/scripts/act1.rpy	765
